void sub_805DF0(HANDLE ProcessHandle, PVOID *BaseAddress, PSIZE_T RegionSize, ULONG NewProtect, PULONG OldProtect)
{
  unsigned __int64 **v6; // r15
  unsigned __int64 v214; // rdx
  unsigned __int64 v215; // r15
  unsigned __int64 v216; // r15
  unsigned __int64 v217; // r10
  unsigned __int64 v218; // r9
  unsigned __int64 v219; // rbx
  int v220; // edx
  unsigned __int64 v221; // r11
  __int64 v222; // rcx
  __int64 v223; // rcx
  int v224; // r13d
  __m128i v225; // xmm5
  __int64 v226; // rdx
  unsigned __int64 v227; // xmm5_8
  unsigned __int64 v228; // r9
  unsigned __int64 v229; // r15
  bool v230; // r10
  unsigned __int64 v231; // rax
  __int64 v232; // r11
  unsigned int v233; // ecx
  unsigned __int64 v234; // kr38_8
  char v235; // cl
  char v236; // cl
  char v237; // cl
  char v238; // cl
  char v239; // cl
  unsigned __int64 **v240; // r15
  __int64 v241; // rdx
  char v242; // cl
  char v243; // cl
  char v244; // cl
  unsigned __int64 v245; // kr40_8
  unsigned __int64 v246; // kr48_8
  __int64 v247; // r12
  unsigned __int64 v248; // rcx
  unsigned __int64 v249; // r10
  unsigned __int64 v250; // rbx
  __m128i v251; // xmm1
  unsigned __int64 v252; // kr50_8
  __int64 v253; // rax
  __int64 v254; // r8
  char v255; // cl
  __int64 v256; // rdx
  __m128i v257; // xmm2
  unsigned __int64 v258; // r15
  unsigned __int64 v259; // r13
  unsigned __int64 v260; // rax
  unsigned __int64 v261; // rcx
  unsigned __int64 v262; // rdx
  __m128i v263; // xmm0
  char v264; // cl
  char v265; // cl
  char v266; // cl
  int v267; // r11d
  unsigned __int64 v268; // kr58_8
  __int64 v269; // r11
  unsigned __int64 v270; // r11
  __m128i v271; // xmm9
  unsigned __int64 **v272; // rdi
  unsigned __int64 *v273; // rax
  __int64 v274; // rdx
  unsigned int v275; // eax
  unsigned int v276; // eax
  unsigned __int64 v277; // r15
  unsigned __int64 v278; // r10
  unsigned __int64 v279; // rdi
  unsigned __int64 v280; // rcx
  unsigned __int64 v281; // r13
  unsigned __int64 v282; // rdx
  unsigned __int64 v283; // r15
  unsigned __int64 v284; // r14
  unsigned __int64 **v285; // rbx
  unsigned __int64 *v286; // r11
  unsigned __int64 v287; // rdx
  __int64 v288; // rbx
  unsigned __int64 v289; // rsi
  unsigned __int64 v290; // rdx
  signed __int64 v291; // r8
  unsigned __int64 v292; // r14
  unsigned __int64 v293; // rdx
  unsigned __int64 v294; // rcx
  unsigned __int64 v295; // rdx
  unsigned int v296; // r14d
  __int64 v297; // rax
  unsigned __int64 v298; // kr60_8
  unsigned __int64 v299; // kr68_8
  _QWORD **v300; // [rsp+1E38h] [rbp-38h]
  unsigned __int64 v301; // [rsp+1E38h] [rbp-38h]
  unsigned __int64 v302; // [rsp+1E38h] [rbp-38h]
  ULONG v303; // [rsp+1E40h] [rbp-30h]
  unsigned __int64 *v304; // [rsp+1E40h] [rbp-30h]
  __int64 v305; // [rsp+1E48h] [rbp-28h]
  unsigned __int64 *v306; // [rsp+1E50h] [rbp-20h] BYREF
  PVOID **v307; // [rsp+1E58h] [rbp-18h]
  unsigned __int64 *v308; // [rsp+1E60h] [rbp-10h]
  PSIZE_T *v309; // [rsp+1E68h] [rbp-8h]
  int v310; // [rsp+1E78h] [rbp+8h]
  unsigned __int64 v311; // [rsp+1E80h] [rbp+10h]
  PVOID *v312; // [rsp+1E88h] [rbp+18h] BYREF
  unsigned __int64 v313; // [rsp+1E90h] [rbp+20h]
  __int64 v314; // [rsp+1E98h] [rbp+28h]
  PSIZE_T v315; // [rsp+1EA0h] [rbp+30h] BYREF
  __int64 v316; // [rsp+1EA8h] [rbp+38h]
  unsigned __int64 v317; // [rsp+1EB0h] [rbp+40h]
  __int64 v318; // [rsp+1EB8h] [rbp+48h]
  unsigned __int64 v319; // [rsp+1EC0h] [rbp+50h]
  void (__fastcall *v320)(unsigned __int64, __int64, unsigned __int64); // [rsp+1EC8h] [rbp+58h]
  signed __int64 v321; // [rsp+1ED0h] [rbp+60h]
  unsigned __int64 v322; // [rsp+1ED8h] [rbp+68h]
  unsigned __int64 v323; // [rsp+1EE0h] [rbp+70h]
  unsigned __int64 v324; // [rsp+1EE8h] [rbp+78h]
  unsigned __int64 v325; // [rsp+1EF0h] [rbp+80h] BYREF
  __int64 v326; // [rsp+1EF8h] [rbp+88h]
  unsigned __int64 v327; // [rsp+1F00h] [rbp+90h]
  unsigned __int64 v328; // [rsp+1F08h] [rbp+98h]
  __m128i v329; // [rsp+1F10h] [rbp+A0h] BYREF
  unsigned int v330; // [rsp+1F24h] [rbp+B4h]
  unsigned __int64 v331; // [rsp+1F28h] [rbp+B8h]
  unsigned __int64 **v332; // [rsp+1F30h] [rbp+C0h]
  __int64 v333; // [rsp+1F38h] [rbp+C8h]
  unsigned __int64 v334; // [rsp+1F40h] [rbp+D0h]
  __int64 v335; // [rsp+1F48h] [rbp+D8h]
  __int64 v336; // [rsp+1F50h] [rbp+E0h]
  __int64 v337; // [rsp+1F58h] [rbp+E8h]
  char *v338; // [rsp+1F60h] [rbp+F0h]
  __int64 v339; // [rsp+1F68h] [rbp+F8h]
  unsigned __int64 v340; // [rsp+1F70h] [rbp+100h] BYREF
  __int64 v341; // [rsp+1F78h] [rbp+108h]
  unsigned __int64 v342; // [rsp+1F80h] [rbp+110h]
  __int64 v343; // [rsp+1F88h] [rbp+118h]
  __int64 v344; // [rsp+1F90h] [rbp+120h]
  unsigned __int64 v345; // [rsp+1F98h] [rbp+128h]

  v6 = (unsigned __int64 **)&loc_800DEE;
  v312 = BaseAddress;
  v315 = RegionSize;
  LODWORD(v306) = 0x102102A6;
  v7 = __readeflags();
  __writeeflags(v7 & 0xFFFFFFFFFFFFFEFFuLL);
  v318 = (__int64)ProcessHandle;
  if ( ProcessHandle == (HANDLE)0xFFFFFFFFFFFFFFFFLL )
  {
    LODWORD(v306) = 0x299C7D19;
    v8 = __readeflags();
    __writeeflags(v8 & 0xFFFFFFFFFFFFFEFFuLL);
    v13 = 1;
    v14 = 0x10LL;
  }
  else
  {
    LODWORD(v306) = 0xE27AC558;
    v9 = __readeflags();
    __writeeflags(v9 & 0xFFFFFFFFFFFFFEFFuLL);
    v10 = __ROL4__(0x8FFFC05A, 3);
    ((void (*)(void))((char *)&loc_B4452C + 0xFFFFDA04))();
    v12 = v10 ^ v11 ^ (8 * (v10 ^ v11)) ^ ((v10 ^ v11 ^ (8 * (v10 ^ v11))) << 6);
    v13 = ((v12 << 0xC) ^ (v12 << 0x18)) == v12;
    v14 = 8LL;
  }
  LODWORD(v306) = 0x102102A6;
  v15 = OldProtect;
  v332 = (unsigned __int64 **)&loc_800DEE;
  if ( !v13 || v312 == 0LL || !v315 )
  {
    LOWORD(v14) = v14 + 8;
    goto LABEL_13;
  }
  LODWORD(v326) = NewProtect;
  v306 = &v325;
  v309 = &v315;
  v308 = &v340;
  v307 = &v312;
  v6 = &v306;
  LOBYTE(v334) = v13;
  v16 = (unsigned __int64)&v306 ^ __ROL8__(&v306, 0x2A) ^ __ROL8__(&v306, 0x31);
  v17 = v16 ^ __ROL8__(v16, 0x12) ^ __ROL8__(v16, 3);
  ((void (__fastcall *)(unsigned __int64))((char *)&loc_87BC9F + __ROL4__(0xFE5641FF, 0x17) + 1))(__ROL8__(v17, 0x30) ^ v17 ^ __ROL8__(v17, 0x18));
  v18 = _mm_xor_si128(
          (__m128i)(__int64)0xFFFFFFFFFFFFFFFFuLL,
          _mm_loadl_epi64((const __m128i *)((char *)&unk_16AA934 + 8 * byte_16AA9CE[0xFFFFD58C] + 0xFFFFD62FLL)));
  v19 = _mm_xor_si128(
          _mm_or_si128(
            _mm_and_si128(_mm_slli_epi16(v18, 6u), (__m128i)xmmword_14D61D0),
            _mm_and_si128(_mm_srli_epi16(v18, 2u), (__m128i)xmmword_14D6060)),
          _mm_loadl_epi64((const __m128i *)((char *)&unk_16AA55A + 0xFFFFDA4A))).m128i_u64[0];
  HIDWORD(v306) = HIDWORD(v19);
  LODWORD(v306) = 0xBF8CAA4;
  v20 = byte_16B54E9[0xFFFF4527];
  v21 = *((_BYTE *)&unk_16B8328 + 8 * v20 + 0xFFFF16F0LL);
  v22 = *((_BYTE *)&unk_16B8328 + 8 * v20 + 0xFFFF16F2LL);
  BYTE3(v306) = __ROL1__(*((_BYTE *)&unk_16B8328 + 8 * v20 + 0xFFFF16EELL), 4);
  v23 = __ROL1__(*((_BYTE *)&unk_16B8328 + 8 * v20 + 0xFFFF16EFLL), 4);
  HIBYTE(v306) = __ROL1__(v22, 4);
  LOBYTE(v306) = __ROL1__(*((_BYTE *)&unk_16B8328 + 8 * v20 + 0xFFFF16EBLL), 4);
  BYTE4(v306) = v23;
  BYTE2(v306) = __ROL1__(*((_BYTE *)&unk_16B8328 + 8 * v20 + 0xFFFF16EDLL), 4);
  BYTE6(v306) = __ROL1__(*((_BYTE *)&unk_16B8328 + 8 * v20 + 0xFFFF16F1LL), 4);
  BYTE5(v306) = __ROL1__(v21, 4);
  BYTE1(v306) = __ROL1__(*((_BYTE *)&unk_16B8328 + 8 * v20 + 0xFFFF16ECLL), 4);
  v24 = v306;
  LODWORD(v306) = 0xE2FEC558;
  v25 = v14 + 0x10;
  v15 = OldProtect;
  if ( v325 >= (unsigned __int64)v24 || v19 > v340 )
  {
    v51 = _mm_xor_si128(
            (__m128i)(__int64)0xFFFFFFFFFFFFFFFFuLL,
            _mm_loadl_epi64((const __m128i *)((char *)&unk_16AD5A5
                                            + 8 * byte_16B5C8E[0xFFFF3276]
                                            + (__int16)__ROL2__(0xADCA, 5)
                                            + 0xF)));
    v52 = _mm_xor_si128(
            _mm_or_si128(
              _mm_and_si128(_mm_slli_epi16(v51, 5u), (__m128i)xmmword_14D5CD0),
              _mm_and_si128(_mm_srli_epi16(v51, 3u), (__m128i)xmmword_14D5CC0)),
            _mm_loadl_epi64((const __m128i *)((char *)&unk_16B0B9E + 0xFFFF839D))).m128i_u64[0];
    HIDWORD(v306) = HIDWORD(v52);
    v42 = 0xD0E382E6;
    NewProtect = v326;
    LODWORD(v306) = 0xFE7BC7FE;
    v53 = __readeflags();
    __writeeflags(v53 & 0xFFFFFFFFFFFFFEFFuLL);
    if ( v325 < v52 + 0x82EC000 && v52 <= v340 )
    {
      v6 = v332;
      LODWORD(v306) = 0xA9223B28;
      if ( v52 )
      {
        v54 = v52 + *(unsigned int *)(v52 + 0x3C);
        if ( v54 )
        {
          v55 = *(unsigned __int16 *)(v54 + 6);
          if ( *(_WORD *)(v54 + 6) )
          {
            v56 = v54 + *(unsigned __int16 *)(v54 + 0x14);
            v57 = v56 + 0x18;
            v58 = v56 + 0x28 * v55 + 0x18;
            LOWORD(v25) = v14 + 0x18;
            do
            {
              v59 = *(unsigned __int64 **)v57;
              v306 = v59;
              LOBYTE(v307) = 0;
              if ( (_BYTE)v59 )
              {
                v60 = (char *)&v306 + 1;
                v61 = 0x3E6FE7F65B66607BLL;
                while ( 1 )
                {
                  LOWORD(v25) = (v25 + 8) & 0xFFF;
                  v61 = 0x10000000291LL * ((unsigned __int8)v59 ^ (unsigned __int64)v61);
                  LOBYTE(v59) = *v60;
                  if ( !*v60 )
                    break;
                  ++v60;
                }
                if ( v61 == 0xEEDD4BAEEE965EC9uLL )
                {
                  LODWORD(v306) = 0x140102A6;
                  NewProtect = v326;
                  v13 = v334;
                  if ( (unsigned int)__ROL4__(0x53D4301C, 0xC) >= 0x5435A09uLL )
                  {
                    v196 = *(_DWORD *)(v57 + 0xC);
                    v330 = 0xD46382E6;
                    v197 = *(_DWORD *)(v57 + 8);
                    v198 = *(_DWORD *)(v57 + 0x10);
                    v195 = v340;
                  }
                  else
                  {
                    v195 = v340;
                    v330 = 0xD46382E6;
                    v196 = *(_DWORD *)(v57 + 0xC);
                    v197 = *(_DWORD *)(v57 + 8);
                    v198 = *(_DWORD *)(v57 + 0x10);
                  }
                  v251 = _mm_add_epi64(_mm_cvtsi32_si128(v196), (__m128i)v52);
                  if ( v198 > v197 )
                    v197 = v198;
                  if ( v325 < _mm_add_epi64(_mm_cvtsi32_si128(v197), v251).m128i_u64[0] && v195 >= v251.m128i_i64[0] )
                    goto LABEL_201;
                  v252 = __readeflags();
                  __writeeflags(v252 & 0xFFFFFFFFFFFFFEFFuLL);
                  LODWORD(v306) = 0x102102A6;
                  goto LABEL_50;
                }
                NewProtect = v326;
              }
              v57 += 0x28LL;
            }
            while ( v57 < v58 );
          }
        }
      }
      LOWORD(v25) = (v25 + 8) & 0xFFF;
      LODWORD(v306) = 0x144102A6;
LABEL_50:
      LODWORD(v306) = 0xA9223B28;
      if ( !v52
        || (v63 = v52 + *(unsigned int *)(v52 + 0x3C)) == 0
        || (v64 = *(unsigned __int16 *)(v63 + 6), ((unsigned __int16)v64 ^ 0xE9D7) == 0xE9D7) )
      {
LABEL_62:
        LODWORD(v306) = 0x144102A6;
LABEL_63:
        LODWORD(v306) = 0xEE9EC558;
        return;
      }
      v65 = _mm_add_epi64(_mm_cvtsi32_si128(*(unsigned __int16 *)(v63 + 0x14)), (__m128i)(v63 + 0x18)).m128i_u64[0];
      v66 = v65 + 0x28 * v64;
      while ( 1 )
      {
        v67 = *(unsigned __int64 **)v65;
        v306 = v67;
        LOBYTE(v307) = 0;
        if ( (_BYTE)v67 )
        {
          v68 = (char *)&v306 + 1;
          v69 = 0x3E6FE7F65B66607BLL;
          while ( 1 )
          {
            v69 = 0x10000000291LL * ((unsigned __int8)v67 ^ (unsigned __int64)v69);
            LOBYTE(v67) = *v68;
            if ( !*v68 )
              break;
            ++v68;
          }
          v14 = 0xC07991FDLL - (v69 + 0x4EF03BF9);
          v6 = v332;
          if ( v14 == 0x30EDF2C49562B917LL )
          {
            LODWORD(v306) = 0x140102A6;
            v15 = OldProtect;
            if ( __ROR2__(0, v69) )
              goto LABEL_184;
            LOWORD(v25) = (v25 + 0x10) & 0xFFF;
            v231 = *(unsigned int *)(v65 + 0xC) + v52;
            v330 = 0xD46382E6;
            v232 = *(unsigned int *)(v65 + 8);
            v233 = *(_DWORD *)(v65 + 0x10);
            if ( v233 > (unsigned int)v232 )
              v232 = v233;
            if ( v340 < v231 || v325 >= v231 + v232 )
            {
              v234 = __readeflags();
              __writeeflags(v234 & 0xFFFFFFFFFFFFFEFFuLL);
              LODWORD(v306) = 0x102102A6;
              goto LABEL_63;
            }
            v13 = v334;
LABEL_201:
            if ( (int)NewProtect >= 4 )
            {
              if ( NewProtect == 4 )
                goto LABEL_203;
            }
            else if ( NewProtect == (unsigned __int16)__ROL2__(0x40, 0xB) )
            {
LABEL_203:
              v31 = (v25 + 8) & 0xFFF;
              LODWORD(v306) = 0x13B4CAA4;
              if ( NewProtect == 4 )
              {
                LODWORD(v306) = 0xE3F6C558;
                NewProtect = 8;
              }
              LODWORD(v306) = 0xEA3AC558;
              goto LABEL_14;
            }
            LODWORD(v306) = 0x9D423B28;
            return;
          }
          LOWORD(v25) = (v25 + 8) & 0xFFF;
        }
        else
        {
          LOWORD(v25) = (v25 + 8) & 0xFFF;
        }
        v65 += 0x28LL;
        if ( v65 >= v66 )
          goto LABEL_62;
      }
    }
    LODWORD(v306) = 0xDDE382E6;
    while ( 1 )
    {
      v62 = v332;
      if ( (NewProtect & 0xF0) == 0 )
      {
        v31 = v25 + 8;
        LODWORD(v306) = 0x9D423B28;
        v6 = v332;
        v13 = v334;
        goto LABEL_14;
      }
      LODWORD(v345) = v42;
      LODWORD(v306) = 0xA99E3B28;
      v139 = __ROL8__(v6, 0x1C);
      v140 = (unsigned __int64)v6 ^ __ROL8__(v6, 0x2E);
      ((void (__fastcall *)(__int64, _QWORD, _QWORD, unsigned __int64))((char *)&loc_50FB53 + 0xFFFF96BD))(
        v139,
        *v312,
        __ROL8__(*v312, 0x25),
        (0x73A84FA1 * (v139 ^ v140)) ^ __ROL8__(0x73A84FA1 * (v139 ^ v140), 0xA) ^ __ROL8__(
                                                                                     0x73A84FA1 * (v139 ^ v140),
                                                                                     0x16));
      v141 = 0x123AE6CFD4A3F89FLL;
      if ( v142 >= 0 )
        return;
      LOWORD(v14) = v25 + 8;
      v330 = 0x106102A6;
      v6 = v62;
      if ( v310 == 0x1000000 )
        goto LABEL_191;
      v320 = (void (__fastcall *)(unsigned __int64, __int64, unsigned __int64))v325;
      v330 = 0xF4EFC7FE;
      v333 = v25 + 8;
      v143 = __ROL4__(0x57AFFFF3, 0xC);
      v144 = (char *)&unk_16B1936 + v143 + 0x6937;
      v145 = *(_QWORD *)((char *)&unk_16B1936 + v143);
      v146 = *(_QWORD *)((char *)&unk_16B1936 + v143 + 8);
      v147 = (unsigned int)*(_QWORD *)(v144 + 0xFFFF96C9) >> 0x17;
      v148 = *(_QWORD *)(v144 + 0xFFFF96C9) & 1;
      v319 = HIWORD(*(_QWORD *)(v144 + 0xFFFF96C9));
      v323 = v145 >> 0x1C;
      v339 = v145 >> 0x24;
      v313 = (unsigned int)v145 >> 5;
      v149 = (v145 >> 0x1F) & 0x20 | v147 & 8 | v148 | ((unsigned int)v145 >> 1) & 2;
      v328 = (v145 >> 0x2D) & 0x200;
      v329.m128i_i64[0] = 0xC0000005LL;
      v322 = (v146 >> 0x1E) & 0xC0000000;
      v327 = 0xFFFFFFFFC593CF81uLL;
      v316 = 0xFFFFFFFFA144C5F7uLL;
      v314 = v146 & 0x4000;
      v311 = v146 >> 0xB;
      v324 = (unsigned int)&unk_300000 & ((unsigned int)v146 >> 8);
      v338 = v144;
      v150 = *(_QWORD *)(v144 + 0xFFFF96D9);
      v343 = (8 * v150) & 0x40000000000LL;
      v342 = (unsigned int)qword_70000 & ((unsigned int)v146 >> 2);
      v317 = (unsigned __int64)(v150 & 4) << 0x1F;
      v336 = (v146 >> 0x19) & 0x10000000;
      v321 = (unsigned __int64)(v150 & 0x10000000) << 0xC;
      v329.m128i_i64[1] = (unsigned __int64)(v150 & 0xC00) << 0x18;
      v331 = (0x10 * v150) & 0x20000000000LL;
      v341 = (8 * (_WORD)v146) & 0x2000;
      v344 = (v146 >> 0x14) & 0x8000000;
      v323 = (v145 >> 0x1C) & 0x10;
      v335 = (v146 >> 0x10) - 0x1000000;
      v337 = (v146 >> 0x13) & 0x6000000;
      v319 &= 0xC00u;
      v313 = ((unsigned int)v145 >> 5) & 4;
      v319 = 0x10
           * (_mm_or_si128(
                (__m128i)(_mm_or_si128(
                            (__m128i)(_mm_or_si128(
                                        _mm_and_si128(_mm_cvtsi32_si128(v145 >> 0x24), (__m128i)xmmword_14D68D0),
                                        _mm_cvtsi32_si128(v149)).m128i_u64[0] | v314 | v319 | v328 | (v145 >> 0x26) & 0x80 | (v145 >> 0x2C) & 0x100),
                            _mm_cvtsi32_si128((unsigned __int8)(v146 & 4) << 0xA)).m128i_u64[0] | v336 | v344 | v337 | (unsigned int)&unk_C00000 & (unsigned int)(v146 >> 0xB) | v324 | ((unsigned int)v146 >> 4) & 0x80000 | v342 | v341 | ((unsigned int)v146 >> 1) & 0x8000),
                _mm_cvtsi32_si128((v146 >> 0x1C) & 0x20000000)).m128i_u64[0] | v323 | v322 | (v146 >> 0x10) & 0x1000000 | v313 | (2 * v150) & 0x80000000000LL | v343 | v331 | v321 | ((unsigned __int64)(v150 & 0x400000) << 0x11) | ((unsigned __int64)(v150 & 0x20000) << 0x15) | ((unsigned __int64)((unsigned __int16)v150 & 0x8000) << 0x16) | ((unsigned __int64)(v150 & 0x2000) << 0x17) | v329.m128i_i64[1] | v317 | ((unsigned __int64)(v150 & 1) << 0x20));
      si128 = _mm_load_si128((const __m128i *)&xmmword_15B1630);
      v152 = 0LL;
      v153 = v25 + 8;
      do
      {
        if ( v152 != 0x18 )
        {
          v330 = 0xDA6382E6;
          v316 = (unsigned int)__ROL4__(0x33D7B1F8, 0x11);
          v339 = 0x1CBA7ACELL;
          v322 = (unsigned int)__ROL4__(0x4960, 0x19);
          v328 = 0x9740E0D6LL;
          v154 = *(_QWORD *)(v319 + v152);
          LODWORD(v343) = ((unsigned int)v154 >> 2) & 6;
          LODWORD(v317) = ((unsigned int)v154 >> 9) & 0x1E00;
          LODWORD(v324) = (unsigned int)v154 >> 3;
          v155 = *(_QWORD *)(v319 + v152 + 8);
          v329.m128i_i64[0] = 0x90BD4E1ALL;
          v321 = (unsigned int)qword_40000 & (unsigned int)(v154 >> 0xF);
          v314 = 0x2E790730LL;
          v313 = v152;
          v156 = v155 << 0x15;
          v157 = ((_DWORD)v155 << 0x15) & 0x10000000;
          v331 = v155;
          v158 = 0x20 * v155;
          v329.m128i_i64[1] = 0x2CD6C80C * ((0x20 * v155) ^ 0x3FFFFF7FFFFFFFFFLL);
          v159 = ~(0x20 * v155);
          v336 = 0xFFFFFFFFD17F2EE7uLL * (v159 & 0x8000000000LL);
          v342 = 0xFFFFFFFFD32937F5uLL * (v159 | 0x8000000000LL);
          v160 = v158 & 0xFFFFFF7FFFFFFFE0uLL;
          v311 = 0xC00002EE * (v158 & 0xFFFFFF7FFFFFFFE0uLL);
          v161 = v156 + 0x10000000;
          v162 = _mm_cvtsi32_si128(((unsigned int)v154 >> 0xA) & 0x1E000);
          v163 = _mm_cvtsi32_si128(((unsigned int)v154 >> 0xE) & 0x20000);
          if ( v316 < 0x1CF2F0CE )
            v157 = v161;
          v164 = _mm_and_si128((__m128i)(unsigned __int64)v159, si128);
          v165 = *(_QWORD *)(v319 + v313 + 0x10);
          v166 = (v154 >> 0x1A) & 0x400000 | (v154 >> 0x16) & 0x380000 | ((unsigned int)v317
                                                                        + (((unsigned int)v154 >> 8) & 0x180)) | ((unsigned int)v154 >> 7) & 0x60 | ((((unsigned int)v154 >> 6) & 0x10) + (v324 & 8 | ((unsigned int)v343 + (((unsigned int)v154 >> 1) & 1)))) | v321 | _mm_or_si128(v163, v162).m128i_u64[0];
